ad_archive_id,collation_id,is_active,start_date_formatted,end_date_formatted,page_name,snapshot.page_name,snapshot.title,snapshot.body.text,snapshot.cta_text,snapshot.display_format,snapshot.link_url,domain,url_path,utm_source,utm_medium,utm_campaign,funding_type_label,supplier_label,brand_label,campaign_period,creative_format,card_title,card_body,card_cta_text,card_image_url,card_video_hd_url,publisher_platform,snapshot_week,snapshot_month,publisher_platform_clean,facebook,instagram,audience_network,messenger,threads,whatsapp,landing_page_type,is_official_cw,mentions_cw_brand,tga_risk_flag,snapshot_date,start_date_formatted_dt,snapshot_run_datetime,campaign_age_days
1325349936211580,,True,2026-05-31 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Now 30% off RRP!,Experience the science of Dercos by Vichy. Shop now at Chemist Warehouse.,Shop now,IMAGE,https://fb.com/canvas_doc/1321066579975653,fb.com,/canvas_doc/1321066579975653,,,,Not Specified,,,,,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Internal/App Page,True,True,False,2026-06-01,2026-05-31 07:00:00,2026-06-01 16:50:49.848447,1
2200759450755170,,True,2026-05-31 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Now 30% off RRP!,Say goodbye to dandruff with the world’s #1 derm-recommended brand. Clinical efficacy you can trust. Shop now!,Shop now,IMAGE,https://fb.com/canvas_doc/1966679117545113,fb.com,/canvas_doc/1966679117545113,,,,Not Specified,,,,,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Internal/App Page,True,False,False,2026-06-01,2026-05-31 07:00:00,2026-06-01 16:50:49.848447,1
2494431760987390,,True,2026-05-31 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Now 30% off RRP!,"Recommended By Dermatologists. Try DERCOS, The Haircare And Scalp Expert.",Shop now,IMAGE,https://fb.com/canvas_doc/1693203881747003,fb.com,/canvas_doc/1693203881747003,,,,Not Specified,,,,,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Internal/App Page,True,False,False,2026-06-01,2026-05-31 07:00:00,2026-06-01 16:50:49.848447,1
1294976272284890,1693781345291200,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Shop Nude by Nature,"A lightweight, buildable serum-based blush that delivers a luminous flush of colour with care.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
1549032246934016,1027729896592482,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Shop Nude by Nature's best selling blush drops,"A lightweight, buildable serum blush that delivers a fresh, dewy flush of colour. Clean colour. Real Results.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
1489847012615845,1299293668449663,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Shop Nude by Nature,"Discover your favourite Nude by Nature Mascara. Whether you prefer volume, length or definition, theres something for you.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
1328210242581969,1299293668449663,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Shop Nude by Nature,"Discover your favourite Nude by Nature Mascara. Whether you prefer volume, length or definition, theres something for you.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
2828822474146430,1526126569125130,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,Shop Nude by Nature,"The Skin Radiance Foundation is a long wearing, light to medium coverage foundation with a radiant, dewy finish.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
1417954030140825,3352753621549958,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,NEW Nude by Nature Lacquer Lip Serums,"The shine of a lacquer, with the comfort of a serum. This is colour that's bold eough to be clean.",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_kol,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
1354906306518637,957899380348904,True,2026-05-29 07:00:00,2026-05-31 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/2601/nude-by-nature?&utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image&utm_term=conversion&utm_content=video-image_june_p1_v2,www.chemistwarehouse.com.au,/shop-online/2601/nude-by-nature,facebook,social,au_cw_coop_facebook_social_nudebynatureptyltd_nudebynature_648_2026_100097-bau_video-image,Coop,Nudebynatureptyltd,Nudebynature,2026,video-image,Shop Nude by Nature,Love your skin and your makeup routine. Nude by Nature is now 30% off RRP at Chemist Warehouse,Shop Now,https://scontent-iad3-1.xx.fbcdn.net/v/t39.35426-6/708814112_1072589525296803_4491146890768485498_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=e_eXRJauTjsQ7kNvwHrT1Sv&_nc_oc=AdrF4nU56kJYjrO1ruSR4DunnvV7mXK81tXWxx6TidkntbykI0_1zkv4qKHxJPd49aA&_nc_zt=14&_nc_ht=scontent-iad3-1.xx&_nc_gid=YSbSPDkXHWZOb-wcWoAGlw&_nc_ss=7f289&oh=00_Af83DchENapKTBTk_fnY9XvpwT5o0a6a9p4_M6kDhk9pZA&oe=6A2277EE,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-W22,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-01,2026-05-29 07:00:00,2026-06-01 16:50:49.848447,3
